user;id;date;text
worksfess;1,58E+18;20/10/2022 11.52;Work! Hallo, boleh minta tolong tidak ya, sender sempet ikut MBKM dapat BPJS tapi dapat notif ini suruh bayar iuran tapi sender udh gak magang lagi. Ini maksudnya suruh bayar gt? Sender soalnya masih jobseeker. Gak ada uang masuk. Ada yg paham? https://t.co/atfM5Y8HrQ
araamaulida;1,58E+18;15/10/2022 19.32;@collegemenfess Ikut MBKM (Kampus Mengajar, SI, Magang Merdeka, dll) dapat uang saku, pengalaman, relasi ???? ikut organisasi capek tp ga dibayar. Kalau MBKM capek tp dibayar ??
DividedMind2;1,58E+18;15/10/2022 09.43;Urusan uang magang mbkm yang telat gegara birokrasi yg lama dan panjang jadi kepikiran apa koruptor juga nunggu lama juga buat proses duit haramnya? Secara birokrasi nya kan juga sama tapi mereka mainin nominal
ty___ra;1,58E+18;14/10/2022 11.36;Stres bet gue di lokasi mbkm ini blm jga sebulan uang gue udah hbis 2 jt njr
adouredhim;1,58E+18;13/10/2022 14.44;"uang saku dari pemerintah ?
uang saku dari perusahaan ??

ehehe mbkm banyak bgt benefitnya ??"
diamondarir;1,58E+18;13/10/2022 13.16;Dah seneng” kan yee ikut mbkm biar dapet uang sangu+uang transportasi eh tau nya kagak anjir malah disuruh cari nasabah.
pengagumlamamu;1,58E+18;09/10/2022 15.55;"Manifesting! BBH MBKM cair minggu ini????
AAMIIN YA ALLAH

Uang pegangan udh menipis gaenak minta ortu??"
safiraxl;1,58E+18;08/10/2022 11.45;woeee uang mbkm kapan cair anjeeeeng gw sekarat ni
cokecaien;1,58E+18;03/10/2022 17.19;@collegemenfess nderr, dari aku yg lagi ikut program mbkm, kalau kamu emang punya budget lebih gass aja nder, asal jangan terlalu bergantung sama uang saku dari kementrian, soalnya uang dari kementrian turun bakal lama bangettt nder wkwk, jadi kalau ada budget ya gass aja
yamedkudashi;1,58E+18;02/10/2022 11.09;@iknwubrv @unicverse_ @ubsansfess kalo uang kip nya udah cair itu nanti uang mbkm nya tetep turun ga ya (dikurang jumlah nominal bulanan kip) atau malah gak dapet samsek dari mbkm? ada yg bilang misal dari kip 700, mbkm 2jt jadinya nanti tetep dapet 1.3jt (2jt dikurangi 700)
howlydei;1,57E+18;27/09/2022 22.20;me when uang mbkm ga keluar-keluar padahal album solonya seulgi mau keluar, mau beli presaleeeee https://t.co/OtNSp2Ljey
_unnies;1,57E+18;27/09/2022 15.37;@collegemenfess xixixi dari pertama ikut mbkm memang selalu ada aja masalah di uang saku
cogifave;1,57E+18;25/09/2022 18.14;@granolish @collegemenfess Waa iya bener, program mbkm lagi jaya wkwk. Aku pernah ikut salah satu programnya, kampus mengajar. Pengen ikut program lagi tapi dah sem 7, sempro gais, telat joinnya wkwk. Programnya menarik, ada uang saku juga. Mayan deh buat pengalaman sama nambah temen
PDemonstran;1,57E+18;24/09/2022 20.25;ternyata buat kurikulum MBKM butuh 400 kepala yang digaji bulanan. kasian uang rakyat
junkyucozy;1,57E+18;24/09/2022 16.24;AH ELAH UANG MBKM LOM CAIR2 ??
gerintiez;1,57E+18;24/09/2022 00.40;@collegemenfess Amiinn nder, aku jg lgi nunggu uang mbkm cair??
arvininety9;1,57E+18;20/09/2022 06.17;Booklet laporan harian mbkm gak diisi² tu ngaruh ke pencairan dana/uang saku gak ya hmm???
hayseokjinyj;1,57E+18;19/09/2022 20.32;"@utoviana Duit MBKM kak, ini dah magang sebulan masa gk dikasih2 uang sakunya.
Mayan kan 700k??"
